Versus,Stadium,Out/Notout,S/R,Runs,Half Century
Pakistan,Gaddafi Stadium,out,122.64,65,True
Pakistan,Gaddafi Stadium,out,114.71,39,False
West Indies,Shere Bangla National Stadium,out,133.33,8,False
West Indies,Shere Bangla National Stadium,out,93.75,15,False
West Indies,Sylhet Stadium,out,71.43,5,False
West Indies,Central Broward Regional Park,out,161.54,21,False
West Indies,Central Broward Regional Park,out,168.18,74,True
West Indies,Warner Park,out,0,0,False
Afghanistan,Rajiv Gandhi International Stadium,out,83.33,5,False
Afghanistan,Rajiv Gandhi International Stadium,out,89.58,43,False
Afghanistan,Rajiv Gandhi International Stadium,out,0,0,False
West Indies,Lord's,out,25,2,False
India,R Premadasa Stadium,out,115.38,15,False
Sri Lanka,R Premadasa Stadium,out,119.05,50,False
India,R Premadasa Stadium,out,142.11,27,False
Sri Lanka,R Premadasa Stadium,out,162.07,47,False
India,R Premadasa Stadium,out,93.75,15,False
Sri Lanka,Sylhet Stadium,out,126.09,29,False
Pakistan,Gaddafi Stadium,out,140,14,False
Pakistan,Gaddafi Stadium,out,121.05,23,False
Pakistan,Gaddafi Stadium,out,100,18,False
Sri Lanka,R Premadasa Stadium,out,0,0,False
New Zealand,Bay Oval,out,160,24,False
New Zealand,Bay Oval,out,185.71,13,False
New Zealand,McLean Park,out,84.62,11,False
New Zealand,Eden Gardens,out,37.5,3,False
India,M Chinnaswamy Stadium,out,109.38,35,False
Pakistan,Eden Gardens,out,120,24,False
Oman,Himachal Pradesh Cricket Association Stadium,not out,163.49,103*,True
Ireland,Himachal Pradesh Cricket Association Stadium,out,180.77,47,False
Netherlands,Himachal Pradesh Cricket Association Stadium,not out,143.1,83*,True
India,Shere Bangla National Stadium,out,76.47,13,False
Pakistan,Shere Bangla National Stadium,out,175,7,False
Zimbabwe,Sheikh Abu Naser Stadium,out,50,1,False
Zimbabwe,Sheikh Abu Naser Stadium,out,135.29,23,False
Zimbabwe,Sheikh Abu Naser Stadium,out,120.83,29,False
Zimbabwe,Shere Bangla National Stadium,out,140,21,False
Zimbabwe,Shere Bangla National Stadium,out,110.71,31,False
South Africa,Shere Bangla National Stadium,out,72.22,13,False
South Africa,Shere Bangla National Stadium,out,125,5,False
Pakistan,Shere Bangla National Stadium,out,140,14,False
West Indies,Warner Park,not out,122.22,11*,True
Australia,Shere Bangla National Stadium,out,45.45,5,False
Pakistan,Shere Bangla National Stadium,out,106.67,16,False
India,Shere Bangla National Stadium,out,60,6,False
West Indies,Shere Bangla National Stadium,out,50,5,False
Hong Kong,Zahur Ahmed Chowdhury Stadium,out,0,0,False
Nepal,Zahur Ahmed Chowdhury Stadium,out,136.36,30,False
Afghanistan,Shere Bangla National Stadium,out,77.78,21,False
Sri Lanka,Zahur Ahmed Chowdhury Stadium,out,50,2,False
Sri Lanka,Zahur Ahmed Chowdhury Stadium,out,120,30,False
